- 0.26256 0 1 tcp 1040 ------- 4 0.0 1.0 7 11
r 0.26456 1 0 ack 40 ------- 4 1.0 0.0 5 16
+ 0.26456 0 1 tcp 1040 ------- 4 0.0 1.0 11 17
+ 0.26456 0 1 tcp 1040 ------- 4 0.0 1.0 12 18
r 0.26756 0 1 tcp 1040 ------- 4 0.0 1.0 6 9
+ 0.26756 1 0 ack 40 ------- 4 1.0 0.0 6 19
- 0.26756 1 0 ack 40 ------- 4 1.0 0.0 6 19
- 0.27088 0 1 tcp 1040 ------- 4 0.0 1.0 8 12
r 0.27288 1 0 ack 40 ------- 4 1.0 0.0 6 19
+ 0.27288 0 1 tcp 1040 ------- 4 0.0 1.0 13 20
+ 0.27288 0 1 tcp 1040 ------- 4 0.0 1.0 14 21
r 0.27588 0 1 tcp 1040 ------- 4 0.0 1.0 7 11
+ 0.27588 1 0 ack 40 ------- 4 1.0 0.0 7 22
- 0.27588 1 0 ack 40 ------- 4 1.0 0.0 7 22
- 0.2792 0 1 tcp 1040 ------- 4 0.0 1.0 9 14
r 0.2812 1 0 ack 40 ------- 4 1.0 0.0 7 22
+ 0.2812 0 1 tcp 1040 ------- 4 0.0 1.0 15 23
+ 0.2812 0 1 tcp 1040 ------- 4 0.0 1.0 16 24
r 0.2842 0 1 tcp 1040 ------- 4 0.0 1.0 8 12
+ 0.2842 1 0 ack 40 ------- 4 1.0 0.0 8 25
- 0.2842 1 0 ack 40 ------- 4 1.0 0.0 8 25
- 0.28752 0 1 tcp 1040 ------- 4 0.0 1.0 10 15
r 0.28952 1 0 ack 40 ------- 4 1.0 0.0 8 25
+ 0.28952 0 1 tcp 1040 ------- 4 0.0 1.0 17 26
+ 0.28952 0 1 tcp 1040 ------- 4 0.0 1.0 18 27
r 0.29252 0 1 tcp 1040 ------- 4 0.0 1.0 9 14
+ 0.29252 1 0 ack 40 ------- 4 1.0 0.0 9 28
- 0.29252 1 0 ack 40 ------- 4 1.0 0.0 9 28
- 0.29584 0 1 tcp 1040 ------- 4 0.0 1.0 11 17
r 0.29784 1 0 ack 40 ------- 4 1.0 0.0 9 28
+ 0.29784 0 1 tcp 1040 ------- 4 0.0 1.0 19 29
+ 0.29784 0 1 tcp 1040 ------- 4 0.0 1.0 20 30
r 0.30084 0 1 tcp 1040 ------- 4 0.0 1.0 10 15
+ 0.30084 1 0 ack 40 ------- 4 1.0 0.0 10 31
- 0.30084 1 0 ack 40 ------- 4 1.0 0.0 10 31
- 0.30416 0 1 tcp 1040 ------- 4 0.0 1.0 12 18
r 0.30616 1 0 ack 40 ------- 4 1.0 0.0 10 31
+ 0.30616 0 1 tcp 1040 ------- 4 0.0 1.0 21 32
+ 0.30616 0 1 tcp 1040 ------- 4 0.0 1.0 22 33
r 0.30916 0 1 tcp 1040 ------- 4 0.0 1.0 11 17
+ 0.30916 1 0 ack 40 ------- 4 1.0 0.0 11 34
- 0.30916 1 0 ack 40 ------- 4 1.0 0.0 11 34
- 0.31248 0 1 tcp 1040 ------- 4 0.0 1.0 13 20
r 0.31448 1 0 ack 40 ------- 4 1.0 0.0 11 34
+ 0.31448 0 1 tcp 1040 ------- 4 0.0 1.0 23 35
+ 0.31448 0 1 tcp 1040 ------- 4 0.0 1.0 24 36
r 0.31748 0 1 tcp 1040 ------- 4 0.0 1.0 12 18
+ 0.31748 1 0 ack 40 ------- 4 1.0 0.0 12 37
- 0.31748 1 0 ack 40 ------- 4 1.0 0.0 12 37
- 0.3208 0 1 tcp 1040 ------- 4 0.0 1.0 14 21
r 0.3228 1 0 ack 40 ------- 4 1.0 0.0 12 37
+ 0.3228 0 1 tcp 1040 ------- 4 0.0 1.0 25 38
+ 0.3228 0 1 tcp 1040 ------- 4 0.0 1.0 26 39
r 0.3258 0 1 tcp 1040 ------- 4 0.0 1.0 13 20
